NCMs;CFOPs;Descrição;Monofásico?;Data
 3402-20-00;5102.0;TUFF COCO LAVA ROUPAS FINAS DELICADAS 1 LT START;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;LIMPADOR PERFUMADO AZULIM ALEGRIA 500 ML;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;MULTIUSO AZULIM LIMAO 500 ML;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;MULTIUSO AZULIM FLORATA 500 ML;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;LIMPADOR PERFUMADO AZULIM - FELICIDADE 500 ml;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;MULTIUSO AZULIM ORIGINAL USO DIARIO 550 ml;Não;2020-01-30 00:00:00
 3402-90-39;5102.0;LIMPADOR PERFUMADO AZULIM CARINHO 500ml START;Não;2020-01-30 00:00:00
 3405-20-00;5102.0;CERA  LIQUIDA  VERMELHA  POLYLAR 750ml;Não;2020-01-25 00:00:00
 3506-10-10;5102.0;ADESIVO 20GR ALMASUPER AEP401;Não;2020-01-30 00:00:00
 3506-10-90;5405.0;COLA PVC BISNAGA 75G AMAZONAS;Não;2020-01-02 00:00:00
 3506-10-90;5405.0;DUREPOXI 100g   ALBA;Não;2020-01-07 00:00:00
 3506-10-90;5405.0;ADESIVO CONT. CASCOLA TRADIC. S/TOLUOL 230 ml;Não;2020-01-07 00:00:00
 3506-10-90;5405.0;ARALDITE 23 G 90 MIN PROFISSIONAL;Não;2020-01-20 00:00:00
 3506-10-90;5102.0;COLA PVC BISNAGA 17;Não;2020-01-22 00:00:00
 3506-91-10;5102.0;COLA CONTATO KISAFIX 200 G C/TOLUENO;Não;2020-01-03 00:00:00
 3506-91-10;5102.0;ADESIVO P/ JUNTAS DE MOTOR WB-45 GAS/ALC/DIESEL;Não;2020-01-25 00:00:00
 3506-91-10;5102.0;VEDA CALHA ALUMINIO 280 GR;Não;2020-01-27 00:00:00
 3506-91-90;5102.0;RATOEIRA COLA RATO;Não;2020-01-08 00:00:00
 3808-91-19;5102.0;K-OTHRINE SC 25 30 ML;Não;2020-01-11 00:00:00
 3808-91-19;5405.0;NITROCID 50 GR   NITROSIN;Não;2020-01-15 00:00:00
 3808-91-92;5102.0;MAXIMO POUR-ON  1 LT   BIOVET;Não;2020-01-03 00:00:00
 3808-91-92;5405.0;CUPINICIDA LIQUIDO NITROSIN 1 LT;Não;2020-01-11 00:00:00
 3808-91-92;5102.0;ALATOX  050ml   FORT DODGE;Não;2020-01-22 00:00:00
 3808-91-92;5102.0;STRAIK MULTI INSETICIDA AEROSOL 400 ML;Não;2020-01-30 00:00:00
